Sanskrit Line,English,Kannada
अस्मदीये देशे बहवः भाषाः व्यवहारे वर्तन्ते ।,"In our country, many languages are used for communication.",ನಮ್ಮ ದೇಶದಲ್ಲಿ ಅನೇಕ ಭಾಷೆಗಳು ಬಳಕೆಯಲ್ಲಿ ಇವೆ. 
भाषायाः उपयोगः स्वाभिप्रायाविष्करणमेव ।,The utility of language is indeed the expression of one’s thoughts.,ತಮ್ಮ ಆಲೋಚನೆಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸುವುದೇ ಭಾಷೆಯ ಪ್ರಯೋಜನ.
यद्यपि चेष्टाभिः स्वाभिप्रायः शक्यते आविष्कर्तुं तथापि भाषया ततोऽपि स्पष्टतया चमत्कारेण च स्वाशयः शक्यते आविष्कर्तुम् ।,"Although one's intent can be expressed through gestures or actions, it is possible to express one's intentions more clearly and charmingly through language.","ನಮ್ಮ ಆಶಯವನ್ನು ಚಲನೆಗಳ ಮೂಲಕ ವ್ಯಕ್ತಪಡಿಸಬಹುದಾದರೂ, ಭಾಷೆಯ ಮೂಲಕ ಮತ್ತಷ್ಟು ಸ್ಪಷ್ಟವಾಗಿ ಮತ್ತು ಆಕರ್ಷಕವಾಗಿ ವ್ಯಕ್ತಪಡಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ."
अतः भाषा सर्वैरपि जनैराद्रियते तत्तद्राष्ट्रसम्बन्धितया ।,"Therefore, language is respected by all people according to their region / state.",ಆದ್ದರಿಂದಲೇ ಜನರು ತಮ್ಮ ತಮ್ಮ ರಾಜ್ಯಕ್ಕೆ ಸಂಬಂಧಪಟ್ಟಂತೆ ಭಾಷೆಯನ್ನು ಗೌರವಿಸುತ್ತಾರೆ.
"इमाः भाषाः बहवो व्यवह्रियन्ते यथा महाराष्ट्रीयैः महाराष्ट्रभाषा, गुजरातीयैः गुजराती, कर्णाटकैः कर्णाटभाषा ।","Many such languages are spoken, such as Marathi by Maharashtrians, Gujarati by Gujaratis, and Kannada by Kannadigas.","ಇಂತಹ ಅನೇಕ ಭಾಷೆಗಳು ಪ್ರಯೋಗದಲ್ಲಿವೆ, ಉದಾಹರಣೆಗೆ ಮಹಾರಾಷ್ಟ್ರದವರು ಮರಾಠಿ ಮಾತನಾಡುತ್ತಾರೆ, ಗುಜರಾತಿಯವರು ಗುಜರಾತಿ, ಮತ್ತು ಕನ್ನಡಿಗರು ಕನ್ನಡವನ್ನು ಬಳಸುತ್ತಾರೆ."
सर्वा अपि एता भाषाः प्राधान्येन तत्तद्देशपरिमिताः ।,All these languages are predominantly confined to their respective regions.,ಈ ಎಲ್ಲಾ ಭಾಷೆಗಳು ತಮ್ಮ ತಮ್ಮ ಪ್ರಾದೇಶಿಕ ಪರಿಧಿಗಳಲ್ಲಿ ಮುಖ್ಯವಾಗಿ ಬಳಕೆಯಾಗುತ್ತವೆ.
संस्कृतभाषा तु न केवलं कस्यचित् देशस्य भाषा अपितु सर्वस्यैव प्रपञ्चस्य सम्बन्धिनी ।,"However, Saṃskṛta is not just the language of one particular country but is related to the entire world.","ಆದರೆ, ಸಂಸ್ಕೃತ ಭಾಷೆಯು ಕೇವಲ ಒಂದು ದೇಶದ ಭಾಷೆಯಲ್ಲ, ಅದು ಸಂಪೂರ್ಣ ಜಗತ್ತಿನೊಂದಿಗೆ ಸಂಬಂಧಿಸಿದ ಭಾಷೆಯಾಗಿದೆ."
संस्कृतं नाम दैवी वाक्” इति बुधैः निगद्यते ।,It is declared by the wise that “Saṃskṛta is a divine speech.”,ಸಮರ್ಥ ಪಂಡಿತರು “ಸಂಸ್ಕೃತವು ದೈವೀ ವಾಣಿ” ಎಂದು ಘೋಷಿಸುತ್ತಾರೆ.
गैर्वाणी देववाणी इत्यादयोऽपि शब्दाः संस्कृतभाषापर्यायतया निर्दिश्यन्ते ।,"Words like 'Gairvāṇī' (language of the gods), 'Deva-vāṇī' (divine speech), etc., are also used synonymously with Saṃskṛta.","'ಗೈರ್ವಾಣಿ' (ದೇವತೆಗಳ ಭಾಷೆ), 'ದೇವವಾಣಿ' (ದೈವೀ ವಾಣಿ) ಮೊದಲಾದ ಪದಗಳನ್ನು ಸಹ ಸಂಸ್ಕೃತಕ್ಕೆ ಪರ್ಯಾಯವಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ."
यज्ञयागादिषु देवताराधने पैतृकविधौ सर्वत्र जातकर्मादिषु संस्कारेषु इयमेव भाषा सर्वराष्ट्रवासिभिः व्यवह्रियते ।,"In rituals such as sacrifices, worship of deities, ancestral ceremonies, and in all rites like the Jātakarma (birth ceremony), this is the language used by the people of all states.","ಯಜ್ಞ-ಯಾಗಾದಿಗಳು, ದೇವತಾ ಪೂಜೆ, ಪಿತೃ ವಿಧಿ, ಮತ್ತು ಜಾತಕರ್ಮ ಮೊದಲಾದ ಸಂಸ್ಕಾರಗಳಲ್ಲಿ, ಈ ಭಾಷೆಯನ್ನೇ ಎಲ್ಲ ರಾಜ್ಯಗಳ ಜನರು  ಬಳಸುತ್ತಾರೆ."
संपूर्वकात् कृधातोः निष्ठाप्रत्यये भूषणार्थे सुडागमे च संस्कृतमिति शब्दो निष्पन्नः ।,"From the verb 'kṛ,' combined with the prefix 'sam' and the suffix 'kta' to signify embellishment or refinement, the word 'Saṃskṛta' is derived.","ಕೃ' ಧಾತುವಿಗೆ 'ಸಂ' ಉಪಸರ್ಗ ಮತ್ತು 'ಕ್ತ' ಪ್ರತ್ಯಯವನ್ನು ಸೇರಿಸಿ,  ಅಲಂಕರಣ ಎಂಬ ಅರ್ಥದಲ್ಲಿ 'ಸಂಸ್ಕೃತ' ಎಂಬ ಪದ ರೂಪಗೊಂಡಿದೆ."
संस्कृतभाषा इति पदेन संस्कारमुपगता भाषा इत्यर्थो भवति ।,The phrase ‘Saṃskṛta-bhāṣā’ means a language that has undergone refinement.,'ಸಂಸ್ಕೃತ-ಭಾಷೆ' ಎಂಬ ಪದವು ಸಂಸ್ಕಾರ ಹೊಂದಿರುವ ಭಾಷೆ ಎಂಬ ಅರ್ಥವನ್ನು ನೀಡುತ್ತದೆ.
केचित् प्राकृतभाषाणां संस्कारात् इयमुत्पन्नेति वदन्ति ।,Some say it arose from the refinement of Prakrit languages.,ಕೆಲವರು ಈ ಭಾಷೆ ಪ್ರಾಕೃತ ಭಾಷೆಗಳ ಪರಿಷ್ಕಾರದಿಂದ ಉದ್ಭವಗೊಂಡಿತು ಎಂದು ಹೇಳುತ್ತಾರೆ.
अपरे सर्वासामपि भाषाणां भूषणरूपत्वेन वर्तमानत्वात् इयं भाषा संस्कृतशब्देन व्यवह्रियत इति मन्यन्ते ।,"Others believe that because this language serves as an ornament for all languages, it is referred to as 'Saṃskṛta.'","ಇತರರು, ಈ ಭಾಷೆಯು ಎಲ್ಲಾ ಭಾಷೆಗಳಿಗೆ ಅಲಂಕಾರವಾಗಿ ಇರುವುದರಿಂದ ಅದನ್ನು 'ಸಂಸ್ಕೃತ' ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ ಎಂದು ನಂಬುತ್ತಾರೆ."
