Question,A,B,C,D,Answer
भाषायाः मुख्यः उपयोगः कः?,व्याकरणसशिक्षा,स्वाभिप्रायाविष्करणम्,सम्भाषणम्,कलानिर्माणम्,B
का भाषा सम्पूर्णस्य प्रपञ्चस्य सम्बन्धिनी इति निबन्धे उल्लिखितम् अस्ति?,महाराष्ट्रीयभाषा,गुजरातभाषा,संस्कृतभाषा,कर्णाटभाषा,C
रिक्तस्थानं पूरयत - संस्कृतं नाम ______________ ,दैवी वाक्,मानुषी वाक्,वैश्विकी वाक्,महती वाक्,A
"संस्कृतशब्दस्य निष्पत्तौ कः धातुः, कः प्रत्ययः?","कृधातुः, सम् प्रत्ययः","सम् धातुः, कृतप्रत्ययः","कृधातुः, क्तप्रत्ययः","संस्कृधातुः, क्तप्रत्ययः",C
कासां भाषाणां संस्कारात् संस्कृतभाषा उत्पन्ना इति केचित् वदन्ति?,पाश्चात्त्यभाषाणाम्,राष्ट्रियभाषाणाम्,प्रादेशिकभाषाणाम्,प्राकृतभाषाणाम्,D
वेदाङ्गानि कति?,चत्वारः,षट्,अष्टादश,नव,B
प्राचीनसंस्कृतग्रन्थैः के विषयाः सूचिताः प्राच्यविज्ञानकुशलानाम् अभिप्रायः?,धार्मिकविषयाः,जातकर्मादिसंस्कारविषयाः,उदारविषयाः,आधुनिकविज्ञानविषयाः,D
प्रतिवर्षं संस्कृतविद्वांसः कुत्र सम्मिलन्ति?,भारते,पाश्चात्त्यदेशेषु,विश्वसंस्कृतसम्मेलने,पाश्चात्त्यदेशविश्वविद्यालयेषु,C
का सूक्तिः केवलं संस्कृतभाषया समर्थयितुं शक्यते?,संस्कृतं नाम दैवी वाक्,सत्यमेव जयते नानृतम्,उदारचरितानां तु वसुधैव कुटुम्बकम्,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते,C
संस्कृतभाषायाः काभिः सह दृढतरः सम्बन्धः वर्तते?,पाश्चात्त्यभाषाभिः सह,पाश्चात्त्यविश्वविद्यालयैः सह,पाश्चात्त्यसंस्कृत्या सह,प्राच्यविज्ञानपण्डितैः सह,A
