Word,Explanation
अस्मदीये,"<b style=""color:purple;"">अस्मदीये</b> = In that which belongs to us. <br> अकारान्तः, पुंलिङ्गः अस्मदीय-शब्दः, सप्तमीविभक्तिः एकवचनम् ।<br> अस्माकम् अयम् = अस्मदीयः देशः । अस्माकम् इयम् = अस्मदीया नगरी । अस्माकम् इदम् = अस्मदीयं राष्ट्रम् । तद्धितान्तशब्दः । Can be used as an adjective in all 3 genders. <br>"
बहवः,"<b style=""color:purple;"">बहवः</b> = Many (fem.). <br> उकारान्तः, स्त्रीलिङ्गः बहु-शब्दः, प्रथमाविभक्तिः बहुवचनम् । <br> The adjective बहु takes 2 forms in feminine – बहुः, बहू, बहवः । Hence, बहवः भाषाः & बह्व्यः भाषाः are both correct. <br>"
स्वाभिप्रायाविष्करणमेव,"<b style=""color:purple;"">स्वाभिप्रायाविष्करणमेव</b> = The expression of one\'s intent. <br> स्व-अभिप्राय-आविष्करणम् एव (सवर्णदीर्घसन्धिः) । <br> स्वस्य अभिप्रायः = स्वाभिप्रायः (षष्ठीतत्पुरुषः) = One\'s own intent. <br> स्वाभिप्रायस्य आविष्करणम् = स्वाभिप्रायाविष्करणम् (षष्ठीतत्पुरुषः) = Expression of one\'s own intent. <br>"
चेष्टाभिः,"<b style=""color:purple;"">चेष्टाभिः</b> = Through actions (instrumental plural). <br> आकारान्तः, स्त्रीलिङ्गः चेष्टा-शब्दः, तृतीयाविभक्तिः बहुवचनम् । <br>"
स्वाभिप्रायः,"<b style=""color:purple;"">स्वाभिप्रायः</b> = One\'s intent. <br> स्व-अभिप्रायः (सवर्णदीर्घसन्धिः) । <br> अकारान्तः, पुंलिङ्गः स्वाभिप्राय-शब्दः, प्रथमाविभक्तिः, एकवचनम् । <br> स्वस्य अभिप्रायः = स्वाभिप्रायः (षष्ठीतत्पुरुषः) = One\'s own intent. <br>"
स्पष्टतया,"<b style=""color:purple;"">स्पष्टतया</b> = Clearly (instrumental singular). <br> आकारान्तः, स्त्रीलिङ्गः स्पष्टता-शब्दः, तृतीयाविभक्तिः एकवचनम् । <br> स्पष्टस्य भावः = स्पष्टता । तद्धितान्तः । <br>"
चमत्कारेण,"<b style=""color:purple;"">चमत्कारेण</b> = With charm (instrumental singular). <br> अकारान्तः, पुंलिङ्गः चमत्कार-शब्दः, तृतीयाविभक्तिः एकवचनम् । <br>"
स्वाशयः,"<b style=""color:purple;"">स्वाशयः</b> = One\'s thought or intent (masc.). <br> स्व-आशयः (सवर्णदीर्घसन्धिः) । <br> अकारान्तः, पुंलिङ्गः स्वाशय-शब्दः, प्रथमाविभक्तिः एकवचनम् । <br> स्वस्य आशयः = स्वाशयः (षष्ठीतत्पुरुषः) = One\'s own thought or intent. <br>"
जनैराद्रियते,"<b style=""color:purple;"">जनैराद्रियते</b> = Is respected by people (passive verb, singular). <br> जनैः + आद्रियते (विसर्गस्य रेफादेशः) । <br> जनैः = अकारान्तः, पुंलिङ्गः जन-शब्दः, तृतीयाविभक्तिः बहुवचनम् । <br> आद्रियते = आ उपसर्गः + दृ-धातुः, कर्मणि लट्-लकारः प्रथमपुरुषः एकवचनम् । <br>"
सम्बन्धिनी,"<b style=""color:purple;"">सम्बन्धिनी</b> = Connected (feminine). <br> ईकारान्तः, स्त्रीलिङ्गः सम्बन्धिनी-शब्दः, प्रथमाविभक्तिः एकवचनम् । <br> सम्बन्धः अस्याः अस्ति इति सम्बन्धिनी । तद्धितान्तः । <br>"
दैवी,"<b style=""color:purple;"">दैवी</b> = Divine (feminine). <br> ईकारान्तः, स्त्रीलिङ्गः दैवी-शब्दः, प्रथमाविभक्तिः एकवचनम् । <br> देवस्य इयम् = दैवी । तद्धितान्तः । <br>"
निगद्यते,"<b style=""color:purple;"">निगद्यते</b> = Is said (passive verb, singular). <br> नि-उपसर्गः + गद्-धातुः, कर्मणि लट्-लकारः (वर्तमानकालः), प्रथमपुरुषः एकवचनम् । <br>"
निर्दिश्यन्ते,"<b style=""color:purple;"">निर्दिश्यन्ते</b> = Are indicated (plural). <br> निर्-उपसर्गः + दिश्-धातुः, कर्मणि लट्-लकारः (वर्तमानकालः), प्रथमपुरुषः बहुवचनम् । <br>"
पैतृकविधौ,"<b style=""color:purple;"">पैतृकविधौ</b> = In the ancestral ritual (locative singular). <br> अकारान्तः, पुंलिङ्गः पैतृकविधि-शब्दः, सप्तमीविभक्तिः एकवचनम् । <br> पितॄणाम् इदम् = पैतृकम् । तद्धितान्तः । <br> पैतृकः विधिः = पैतृकविधिः (कर्मधारयः), तस्मिन् । <br>"
सर्वराष्ट्रवासिभिः,"<b style=""color:purple;"">सर्वराष्ट्रवासिभिः</b> = By the residents of all nations. <br> नकारान्तः, पुंलिङ्गः सर्वराष्ट्रवासिन्-शब्दः, तृतीयाविभक्तिः बहुवचनम् । <br> राष्ट्रे वसन्ति इति = राष्ट्रवासिनः (उपपदसमासः) । <br> सर्वे राष्ट्रवासिनः = सर्वराष्ट्रवासिनः (कर्मधारयः) । <br>"
व्यवह्रियते,"<b style=""color:purple;"">व्यवह्रियते</b> = Is used (passive verb, singular). <br> वि + अव-उपसर्गौ + हृ-धातुः, कर्मणि लट्-लकारः (वर्तमानकालः), प्रथमपुरुषः एकवचनम् । <br>"
संपूर्वकात्,"<b style=""color:purple;"">संपूर्वकात्</b> = Preceded by the prefix 'sam'. <br> अकारान्तः, पुंलिङ्गः संपूर्वक-शब्दः, पञ्चमीविभक्तिः एकवचनम् । <br>"
निष्ठाप्रत्यये,"<b style=""color:purple;"">निष्ठाप्रत्यये</b> = On adding the suffix <i>niṣṭhā</i>. <br> निष्ठा is a technical name for the two suffixes क्तवतु & क्त । In this context, the word संस्कृत is derived by adding क्त suffix to सम् + कृ । <br>"
सुडागमे,"<b style=""color:purple;"">सुडागमे</b> = On adding the augment <i>suṭ</i>. <br> सुट् + आगमे (जश्त्वसन्धिः) । <br> सुट् is a technical term for adding सकार as an augment (आगम) । In सम् + कृ + त, सकार is added before the कृ to form the word संस्कृत । <br>"
इयमुत्पन्नेति,"<b style=""color:purple;"">इयमुत्पन्नेति</b> = It is born (feminine). <br> इयम् + उत्पन्ना + इति (गुणसन्धिः) । <br> इयम् (सर्वनामशब्दः) – मकारान्तः, स्त्रीलिङ्गः, इदम्-शब्दः, प्रथमाविभक्तिः, एकवचनम् । <br> उत्पन्ना – आकारान्तः, स्त्रीलिङ्गः, उत्पन्ना-शब्दः, प्रथमाविभक्तिः, एकवचनम् । <br> इति – अव्ययम् । <br>"
व्यवह्रियत,"<b style=""color:purple;"">व्यवह्रियत इति</b> = Is considered as used. <br> व्यवह्रियते + इति <br> व्यवह्रियते - वि + अव-उपसर्गौ + हृ-धातुः, कर्मणि लट्-लकारः (वर्तमानकालः), प्रथमपुरुषः एकवचनम् । <br> इति – अव्ययम् । <br>"
चत्वारो,"<b style=""color:purple;"">चत्वारो वेदाः</b> = Four Vedas (masc.). <br> चत्वारः + वेदाः (विसर्गस्य उकारादेशः & गुणः) । <br> चत्वारः – रेफान्तः पुंलिङ्गः, नित्यं बहुवचनान्तः चतुर्-शब्दः, प्रथमाविभक्तिः, बहुवचनम् । <br> वेदाः - अकारान्तः, पुंलिङ्गः वेद-शब्दः, प्रथमाविभक्तिः बहुवचनम् । <br>"
"वेदाः,","<b style=""color:purple;"">चत्वारो वेदाः</b> = Four Vedas (masc.). <br> चत्वारः + वेदाः (विसर्गस्य उकारादेशः & गुणः) । <br> चत्वारः – रेफान्तः पुंलिङ्गः, नित्यं बहुवचनान्तः चतुर्-शब्दः, प्रथमाविभक्तिः, बहुवचनम् । <br> वेदाः - अकारान्तः, पुंलिङ्गः वेद-शब्दः, प्रथमाविभक्तिः बहुवचनम् । <br>"
